LAR_EUS_EGOK	LAR_EUS_ORIG	LAR_EUS_UNIDECODE	SARASOLA	SARASOLA1745	WIKIDATA	OEH
eguraldia	eguraldia	eguraldia	eguraldi		eguraldi	eguraldi
ondu	ondu	ondu	ondu		ondu	ondu
ondotu	ondotu	ondotu				
ongitu	onguitu	onguitu	ongitu			
maltsotu	malsotu	malſotu	maltsotu	maltsotu		
zimaurtu	cimaurtu	cimaurtú	zimaurtu	zimaurtu		
inaurkindu	inaurquindu	iñaurquindu				
basaratu	basaratu	baſaratú				
esterkolar	estercolar	eſtercolar				
ontzatu	ontzatu	ontzatú				
ontzat	ontzat	ontzát				
eman	eman	emán	eman		eman	eman
ontzatu	ontzatu	ontzatu				
zion	cion	cion				
kontuetan	contuetan	cóntuetan				
diru	diru	diru	diru		diru	diru
hura	hura	hurá	hura		hur	hur
ontzat	ontzat	ontzat				
ontzateren	ontzateren	ontzateren				
bearrik	bearric	bearric				
onegitu	oneguitu	oneguitu				
onegitzat	oneguitzat	oneguitzat				
eman	eman	eman	eman		eman	eman
zimaurtua	cimaurtua	cimaurtua	zimaurtu	zimaurtu		
gorotzatua	gorotzatua	gorotzatua				gorotzatu
inaurkindua	inaurquindua	iñaurquindua				inaurkindu
basaratua	basaratua	baſaratua				
ngarria	ngarria	ngarria				
abundamiento	abundamiento	abundamiento				
abundar	abundar	abundar				
iori	iori	iorí				
naroro	naroro	naroró	naroro	naroro		
Cimaurra	Cimaurra	Cimaurrá				
inaurki-	inaurqui-	iñaurqui-				
zimaurlea	cimaurlea	cimaurlea				
zimaurtzailea	cimaurtzallea	cimaurtzallea				
borde	borde	borde				
bordo	bordo	bordo				
ontzi	ontzi	ontzi	ontzi		ontzi	ontzi
besteari	besteari	beſteari				
alderatzea	alderatzea	alderatzea				alderatze
alboratzea	alboratzea	alboratzea				
ertzaz	ertzaz	ertzaz				
ertzari	ertzari	ertzari				
ditxekala	dichecala	dichecala				
jartea	jartea	jartea				
ertzatu	ertzatu	ertzatu				
dirade	dirade	dirade				
ertzatua	ertzatua	ertzatua				ertzatu
alderatua	alderatua	alderatua	alderatu		alderatu	alderatu
alboratua	alboratua	alboratua			alboratu	alboratu
ertzatzea	ertzatzea	ertzatzea				
ertzaera	ertzaera	ertzaera				
ontzian	ontzian	ontzian				
ontzira	ontzira	ontzira				
joatea	joatea	joatea				joate
bordonear	bordonear	bordonear				
gorrotatu	gorrotatu	gorrotatu	gorrotatu		gorrotatu	gorrotatu
