id	qid	text
246	L87230	adequito1: zaldiz ibili, zaldiz joan ...-rantz [dat.; ad,in + ak.]
247	L87231	adēsus, -a, -um: pp., ikus adedo. 
248	L87232	adf-...:ikus aff-...
249	L87233	adg-...:ikus agg-...
250	L87234	adhaereo, -haesi, -haesum 2: itsatsi, erantsi, elkartu; zintzilik edo esekita egon.
251	L87235	adhaeresco, -haesi, -haesum 3: -i lotu, -i ekin; saiatu; itsatsi, finkatu; trabatu.
252	L87236	adhaesi: perf., ikus adhaerco eta -haeresco
253	L87237	adhaesio, -ōnis, f.: itsaspen; atxikimendu.
254	L87238	adhaesus, -a, -um: pp., ikus adhaerco eta -haeresco. 
255	L87239	adhibeo, -hibui, -hibitum 2: -i erantsi, -ra eraman; erabili, baliatu; hartu; erakutsi; se a.: jokatu, portatu; a. aliquem ad edo in convivium edo convivio: norbait mahaian eserarazi.
256	L87240	adhortātio, -ōnis, f.: akuilatze, adoretze, aholku, erregu.
257	L87241	adhortor1: akuilatu, aholku eman; adoretu.
258	L87242	adhuc, adb.: honaino; orain arte; are gehiago, etengabe; oraindik; gainera.
259	L87243	adiaceo2: -en ondoan etzan, -en ondoan egon.
260	L87244	adiēci: perf., ikus adiicio. 
261	L87245	adiectus, -a, -um: pp., ikus adiicio. 
262	L87246	adii: perf., ikus adeo. 
263	L87247	adiicio, -iēci, -iectum 3: -ra, -rantz jaurtiketa egin, jaurti; -en ondoan jarri; erantsi, gaineratu.
264	L87248	adigo, -ēgi, -actum 3: -rantz eraman, bultzatu; behartu (ad, in + ak.).
265	L87249	adimo, -ēmi, -emptum 3: kendu, lapurtu; debekatu.
266	L87250	adipiscor, adeptus3: lortu, erdietsi.
267	L87251	aditus, -ūs, m.: sarrera, sarbide; hurbiltze, audientzia; lehorreratzeko toki; hasiera; aukera, abagune, baimen.
268	L87252	adiūdico1: esleitu.
269	L87253	adiūmentum, -i, n.: laguntza, sorospen.
270	L87254	adiunctio, -ōnis, f.: lotura, hurbiltze, elkartze; gehigarri; kooperazio; mugatze.
271	L87255	adiunctus, -a, -um: pp., ikus adiungo
272	L87256	adiungo, -iunxi, -iunctum 3: lotu, uztartu; elkartu; erantsi, gehitu; bat egin, elkartu, batu; eman; lortu, irabazi.
273	L87257	adiunxi: perf., ikusadiungo
274	L87258	adiūro1: zin egindakoari gehitu; konjuratu.
275	L87259	adiūtor, -ōris, m.: laguntzaile, urgazle; jarraitzaile, aldeko; mendeko, adjuntu.
276	L87260	adiūtus, -a, -um: pp., ikusadiuvo
277	L87261	adiūvi: perf., ikusadiuvo
278	L87262	adiuvo, -iūvi, -iūtum1: lagundu; adoretu; lagungarri izan (ad).
279	L87263	adl-...:ikus all-...
280	L87264	admensus, -a, -um: pp., ikusadmētior
281	L87265	admētior, -mensus 4: neurtu.
282	L87266	adminiculum, -i, n.: lanabes txiki, euskarri, sostengu, eustoin.
283	L87267	administer, -tri, m.: laguntzaile, lankide; aldeko; tresna.
284	L87268	administro1: gobernatu, zuzendu; administratu, zaindu; buru izan; lan egin.
285	L87269	admiror1: miretsi, -z miretsi.
286	L87270	admisceo, -miscui, -mixtum 2: nahasi; gehitu.
287	L87271	admīsi: perf., ikusadmitto
288	L87272	admissio, -ōnis, f.: harrera, onarpen, audientzia.
289	L87273	admissum, -i, n.: erru, huts.
290	L87274	admissus, -a, -um: pp., ikusadmitto
291	L87275	admistus, -a, -um: pp., ikusadmisceo
292	L87276	admitto, -mīsi, -missum 3: -ra bidali; a. equum: zaldia lauhazka jarrarazi; onartu, sarrarazi, audientzia eman; egin; eman.
293	L87277	admixtio, -ōnis, f.: nahaste.
294	L87278	admixtus, -a, -um: pp., ikusadmisceo
295	L87279	admodum, adb.: zehazki, hain zuzen, preseski; gutxienez; gehienez; erabat, guztiz, oso.
296	L87280	admoneo, -ui, -itum 2: ohartarazi, abisatu, aholkatu; zerbait gogorarazi norbaiti (aliquem alicuius rei edo de re).
297	L87281	admordeo, -mordi, -morsum2: hozka egin, karraskatu.
298	L87282	admordi: perf., ikusadmordeo
299	L87283	admorsus, -a, -um: pp., ikusadmordeo
300	L87284	admōtus, -a, -um: pp., ikusadmoveo
301	L87285	admoveo, -mōvi, -mōtum 2: -rantz mugitu, hurbildu, gerturatu; aurrerarazi; erantsi, ipini; erabili; sorrarazi.
302	L87286	admōvi: perf., ikusadmoveo
303	L87287	admurmuro1: xuxurlatu, ahopean esan.
304	L87288	adn-...:ann-...
