urubean,urubean
eſpillan ſartú,espilan sartu
uruberatú,uruberatu
eſpillaratu,espilaratu
uruberatua,uruberatua
eſillaratua,esilaratua
urubean ſartua,urubean sartua
jaroerazo,jaroerazo
ertſi,ertsi
ici,izi
baſterrerazo,basterrerazo
chocoratu,txokoratu
ertſia,ertsia
ici,izi
baſterrerazoa,basterrerazoa
uruberatzea,uruberatzea
eſpilleratzea,espileratzea
jaroerazotzea,jaroerazotzea
ſocorrer,sokorrer
picorica,pikorika
cucurizca,kukurizka
boticúca jartea,botikuka jartea
picoricatzea,pikorikatzea
cúcurizcatzea,kukurizkatzea
picorica,pikorika
cucrizca,kukrizka
boticúca jarria picoricatua,botikuka jarria pikorikatua
picorica,pikorika
cucurizca,kukurizka
boticúca jartea,botikuka jartea
ondo bildu,ondo bildu
ta eſtali,ta estali
ondo bildua,ondo bildua
ta eſtalia,ta estalia
labur eguin,labur egin
lbur ditzagn epeac,lbur ditzagn epeak
epaquitzallea,epakitzailea
laburragotu,laburragotu
laburreguitu,laburregitu
macur izatea,makur izatea
abereac larritu,abereak larritu
ertſi erabilli,ertsi erabili
abereai jarrai,abereai jarrai
jarreiqui,jarreiki
ertſia,ertsia
ertſi-,ertsi-
erslea,ertslea
jarreiquitzallea,jarreikitzailea
erſiagotu,ertsiagotu
larrieguitu,larriegitu
eſtueguitu,estuegitu
eratzotu,eratzotu
eratzo,eratzo
etzinerazo,etzinerazo
etzineraci,etzinerazi
echunerazo,etxunerazo
echunaraci,etxunarazi
eratzoa,eratzoa
etzinerazoa,etzinerazoa
etzinaracia,etzinarazia
echunerazoa,etxunerazoa
echunaracia,etxunarazia
etzin,etzin
echun,etxun
oeratzea,oeratzea
etzina,etzina
etziña,etzina
echuna,etxuna
oeratua,oeratua
Ni natza,Ni natza
nentzán,nentzan
hi entzan,hi entzan
ceuntzan,zeuntzan
hura cetzan,hura zetzan
gu gueuntzan,gu geuntzan
zuec ceuntzaten,zuek zeuntzaten
ayec ceutzan cetzaten,aiek zeutzan zetzaten
tzá,tza
zautzá,zautza
