zizelatu,cicelatua
zingilatu,cinguillatu
zingilatu,cinguillatua
nekosta,necoſtá
zutargi,zutarguia
zikindu,ciquindua
iduri,iduria
beltxarga,belchargá
zitara,citara
ojulari,ojularia
ezkutape,ezcutapea
argiro,arguiró
turunta,turuntá
zoli,zolia
klaustro,clauſtroa
iltzatu,iltzatu
iltzatu,iltzatua
iltzegile,iltzeguillea
apaiztar,apaiztarra
abadetar,abadetarra
apaiztu,apaiztu
karkaba,carcaba
lagunkidatu,lagunquidatu
lagunkidatu,lagunquidatua
murritu,murritu
murritu,murritua
barrunbe,barrumbea
zukutu,zucutua
txerri,cherria
zerri,cerria
sukalkin,ſucalquiña
galeper,galeperra
pospolin,poſpoliná
adinkide,adinquidea
anaikide,anaiquidea
batzaile,batzallea
tolestu,toleſtua
ondorengo,ondorengoa
luzoker,luzoquerrá
afarusi,afaruſia
gobada,gobadá
lisiba,liſiva
irazkai,irazcaya
kosna,coſná
kosna,coſná
bilgo,bilgoa
bilgo,bilgoa
eseki,eſequi
eseki,eſequia
lepande,lepandea
murrutu,murrutu
eultza,eultza
maizter,maizterrá
larrantz,larrantza
zabu,zabua
metarri,metarria
begi ur,begui ura
erbinude,erbiñudea
ogigaztai,oguigaztaya
jazar,jazarra
guda,gudá
gudari,gudaria
gudatu,gudatu
gudatu,gudatua
errakai,erracaya
errakor,erracorra
errakin,erraquiña
begirune,beguirunea
azaldu,azaldu
azaldu,azaldua
salerosi,ſaleroſi
aldimaitza,aldimaitza
mugikidatu,muguiquidatu
mugikidatu,muguiquidatua
egokiro,egoquiro
era,era
kupidatu,cupidatu
errukitu,erruquitu
kupidatu,cupidatua
errukitu,erruquitua
aitakide,aitaquidea
lagunkida,lagunquida
elkargo,elcargoa
bekalde,becaldea
bardinkuntza,bardincunza
bekaldu,becaldu
bekaldetu,becaldetu
bekaldu,becaldua
kupidakor,cupidacorra
elkargo,elcargoa
elkargo,elcargoa
ordaingarri,ordaingarria
ordaindu,ordaindu
ordaindu,ordaindua
pozkida,pozquidá
pozkidatu,pozquidatu
pozkidatu,pozquidatu
usbetatu,usbetatú
konpontzaile,compontzallea
antolamendu,antolamenduá
moldaera,moldaera
antolamendu,antolamendua
