antsiatu,anſiatua
larritu,larritua
estutu,eſtutua
atsekabetu,atſecabetu
antsiatu,anſiatu
jaramon,jaramon
atsekabe,atſecabea
antsia,anſia
larri,larriá
estu,eſtuá
lantu,lantuá
lasaitu,laſaitu
lasai,laſai
laxatze,laſyatzea
lasaitu,laſaitua
nasaitu,naſaitua
lasai,laſai
nasai egin,naſai eguina
latxotu,lachotua
ugari,ugaria
naro,naroa
neurtu,neurtu
paratu,paratu
forrutu,forrutua
azpikotu,azpicotua
forru,forrua
azpiko,azpicoá
patu oneko,patu onecoa
zai,zaya
laido,laidoá
desohore,deſohorea
laidotu,laidotu
desohoratu,deſohoratú
laidotu,laidotua
desohoratu,deſohoratua
laidagarri,laidagarria
desohoragarri,deſohoragarria
aurka,aurcá
paratu,paratu
aurkeztu,aurqueztu
gisa,guiſá
itzuri,itzuri
makurtu,macurtu
lurreratu,lurreratu
kurintxo,curinchoac
isats,iſatſ
ezkutatze,ezcutatzea
lurreratze,lurreratzea
ezkutatu,ezcutatua
lurreratu,lurreratuá
onterro,onterroa
itsatsi,itſatſi
lotu,lotu
itsatsi,itſatſia
itxeki,ichequia
atzeman,atzemana
lotu,lotuá
itsasle,itſaſlea
zikoitz,cicoitza
itsatsi,itſatſi
lotu,lotu
zirikatu,ciricatu
zulatu,zulatu
garrotxatu,garrochatua
zirikatu,ciricatua
zulatu,zulatua
zikatzaile,cicatzallea
estutu,eſtutu
gozoro tratatzaile,gozoró tratatzallea
agata,agata
ibili,ibilli
sartu,ſartu
gabikotu,gabicotua
ibili,ibilli
usagari,uſagaria
arin,ariña
biziagotu,viciagotú
arintasun,arintaſuna
lastertasun,laſtertaſuna
bizitasun,vicitaſuna
biziera,viciera
arin,arin
laster,laſter
bizi,vici
zain,zaiñac
zalitzunki,zalitzunquia
makurtze,macurtzea
makur,macurrá
makurtu,macurtua
kroka,croca
krokatu,crocatua
jarri,jarri
orain,orain
azti,aztia
asmatzaile,aſmatzallea
uda larre,uda larreac
soro,ſoroac
alor,alorrac
agortu,agortua
idortu,idortua
agorril,agorrilla
abuztu,abuztua
uzta,uztá
uzta biltze,uzta biltzea
txukatu,chucatú
txukun,chucuna
polit,politá
otzan,otzana
onirizgarri,onirizgarria
emaguri,emaguria
oniritzi,oniritzi
emaguri,emaguria
grazia on,gracia oná
bat,bat
baiezko,bayezcoa
onirizko,onirizcoa
eskerti,eſquertia
eskertsu,eſquertſua
astundu,aſtundú
pisutu,piſutua
astundu,aſtundua
pisu egin,piſu eguiña
pisuagotu,piſuagotua
pisuegitu,piſueguitua
astungarri,aſtungarri
pisutu,piſutu
astundu,aſtundu
iraindu,iraindu
irainatu,irainatua
iraindu,iraindua
bidekaiztu,bidecaiztua
irain,irainá
kalte,caltea
zorigabe,zorigabeac
bildu,bildú
batu,batú
biribilatu,biribillatu
bildu,bilduá
batu,batuá
biribilatu,biribillatuá
talde,taldeá
pila,pillá
moltso,molſoá
montoi,montoyá
biltze,biltzea
batze,batzea
erasari,eraſaria
erasotzaile,eraſotzallea
basati,baſatia
basajende,baſagendea
gazitxo,gacichoa
mintxo,minchoa
lurlantze,lurlantzea
gazi,gaciá
mina,miñá
gazitasun,gacitaſuna
mintasun,mintaſuna
ukartu,ucartúa
usutu,uſutua
ubizi,ubiciac
erauntsi,eraunſia
ubelde,ubeldea
gesal,gueſalá
ur,ura
segari,ſegaria
ur emaile,ur emallea
irozo,irozoá
ureztatu,ureztatú
ureztatu,ureztatua
urdun,urduna
iraungile,iraunguillea
itzungile,itzunguillea
emendatzaile,emendatzallea
gesal,gueſalá
zingira,cinguirá
zale,zaleá
antsia,anſiá
larri,larriá
gose,goſea
zorrotz,zorrotzá
mee,meea
zirikatu,ciricatua
arrano,arranoa
pelenai,pelenaia
mentu,mentuá
aitzin,aitzin
zulogile,zuloguillea
zulo,zuloa
zilo,ciloa
txulo,chuloa
arrati,arratia
zorroztu,zorroztu
zorroztari,zorroztaria
estekatu,eſtecatu
estekatu,eſtecatua
or,orrá
or,or
seme ponteko,ſeme pontecoa
kordea galdu,cordea galdua
mingortu,mingortua
ozpindu,ozpindua
kemen,quemena
gogoan jo,gogoan jo
gogoan jo,gogoan joa
osindu,oſinduá
itogarri,itogarria
ito,itó
ito,itoá
itotzaile,itotzallea
ito,itó
barrenagotu,barrenagotua
urkatu,urcatú
urkatu,urcatuá
urkatu,urcatú
horma,horma
gainerre,gañerrea
zikoizko,cicoizcoa
kutxa,cucha
garmendi,garmendia
idortu,idortu
ondu,ondú
keeztu,queeztuá
keaztatu,queaztatua
idortu,idortua
ondu,onduá
lurrindu,lurrindu
lurrindu,lurrindua
iratze,iratzea
iratu,iratua
eguras,eguraſá
une,unea
erausi,erauſi
egurastu,eguraſtú
lirain,liraña
mastrikatu,maſtricatu
mastrikatu,maſtricatua
atzatu,atzatua
azkatu,azcatua
baratxuri,barachuria
eroate,eroatea
biska,viſcá
alogeratu,alogueratua
alokairatu,alocairatua
zuhurtu,zuhurtu
senondu,ſenondua
zuhur,zuhurra
zuhurtu,zuhurtua
doitu,doitú
doitu,doituá
konpontze,compontzea
ajustatu,ajuſtatua
konpondu,compondua
komundatu,comundatua
garbitze,garbitzea
ateratze,ateratzea
araudun,arauduna
arautsu,arautſua
ongonde,ongondea
ongunde,ongundea
egiune,eguiunea
justiziatu,juſticiatua
hil,hillá
hil,hilá
doandigo,doandigoa
laudorio,laudorioa
alabatu,alabatu
laudatu,laudatu
alabatu,alabatua
doanditu,doanditua
alabatu,alabatu
alabastro,alabaſtro
labeatze,labeatzea
labeatze,labeatzea
alabes,alabeſa
lantza,lanza
erube,erubea
arrabio,arrabioa
balaku,balacua
balakatu,balacatu
balakatu,balacatu
maitatu,maitatú
tu,tua
balakari,balacaria
balaku,balacua
palaku,palacua
maitapen,maitapena
apaindu,apaindua
lanbikeatu,lambiqueatua
lanbike,lambiquea
alanbre,alambrea
alanbre,alambrea
lantzeatu,lanceatua
or,orá
abere,aberea
abre,abreá
aberetzar,aberetzarra
basati,baſatia
luzetu,lucetu
luzatu,luzatu
luzatu,luzatua
luzeagotu,luceagotua
luzatzaile,luzatzallea
largatu,largatua
luzetu,lucetu
luzatu,luzatu
aurreratu,aurreratu
aitzinatu,áitzinatu
lurreratze,lurreratzea
albaka,albacá
iragarri,iragarria
sare,ſarea
karkaba,carcaba
txuri,churia
zuri,zuria
legen,leguená
basta,baſtá
alper,alperra
txalmatu,chalmatú
txalma,chalmá
paratu,paratú
txalmatu,chalmatua
bastatu,baſtatua
txalma,chalmá
bildu,bildua
txalmategi,chalmateguia
bastagin,baſtaguiña
txalmagin,chalmaguiña
txalmatxo,chalmachoa
azal,azalá
basta,baſtá
ekintza,equintza
itxi,ichia
sartu,ſartu
sartu,ſartua
albokero,alboqueroa
ugazkarri,ugazcarria
txuritasun,churitaſuna
zuritasun,zuritaſuna
alborada,alborada
naskari,naſcaria
asaldatu,aſaldatú
arazotu,arazotua
asaldatu,aſaldatua
berotu,berotú
poztu,poztú
poztu,poztua
boztu,boztua
albiriste,albiriſtea
albiriste,albiriſtea
albiste,albiſtea
lazun,lazuná
orburudi,orburudia
estaltzaile,eſtaltzallea
estalgile,eſtalguillea
ibili,ibilli
alkate,alcatea
barruti,barrutia
nastale,naſtaleac
alkanfor,alcanfora
alkanforatu,alcanforatua
iriste,iriſtea
iriste,iriſtea
zurrun,zurruná
sugoi,ſugoya
atzitu,atzitu
iritxi,irichi
irisle,irislea
erdiesle,erdieslea
alkantzatu,alcanzatua
erdietsi,erdietſia
ardietsi,ardietſia
atalar,atalarra
oinazpiko,oiñazpicoá
iltze,iltzé
kakodun,cacoduna
kako,cacoa
mearri,mearria
artelatz,artelatza
estali,eſtali
azaldu,azaldu
estali,eſtalia
azaldu,azaldua
leinu,leinua
etorki,etorquia
oliontzi,olioncia
kisketa,quiſqueta
kisketako,quiſquetacoa
maratila,maratilla
atseden,atſeden
ikaratu,icaratu
beldurtu,beldurtu
izutu,izutú
oilarri,ollarria
muga,muga
mugarri,mugarria
aldeko,aldecoa
mugako,mugacoa
ekarrai,ecarraya
adieragoidun,adieragoiduna
alegeratu,alegueratu
poztu,poztú
boztu,boztú
alegeratu,alegueratu
alegeratu,alegueratua
