EGOKITUA	UNIDECODE	JATORRIZKOA	SARASOLA	SARASOLA1745	WIKIDATA	OEH	OEHLINK
igerria asmatua	iguerria asmatua	iguerria aſmatua					
aurrerat	aurrerat	aurrerat					
arratu	arratu	arratu					
aitziudu	aitziudu	aitziudu					
aitzinatu	aitziñatu	aitziñatu	aitzinatu		aitzinatu	aitzinatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aitzinatu
aurreratua &k	aurreratua &c	aurreratua &c					
prestaria	prestaria	preſtaria					
prestatzailea	prestatzallea	preſtatzallea	prestatzaile		prestatzaile	prestatzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prestatzaile
abisar	avisar	aviſar					
adertir	adertir	adertir					
lendanik ikusi	lendanic icusi	lendanic icuſi					
len ikusia	len icusia	len icuſia					
lenagokoa	lenagocoa	lenagocoa					
aurrekoa	aurrecoa	aurrecoa	aurreko		aurreko	aurreko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aurreko
aitzinekoa	aitzinecoa	aitzinecoa	aitzineko		aitzineko	aitzineko	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aitzineko
lenik	lenic	lenic					
lendanik ikustea	lendanic icustea	lendanic icuſtea					
lenikuskera	lenicusquera	lenicuſquera					
beltza	beltza	beltza	beltz		beltz	beltz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=beltz
baltza	baltza	baltza				baltz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=baltz
beltxa	belcha	belcha	beltx			beltx	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=beltx
lenendea	lenendea	lenendea					
lenagoitza	lenagoitza	lenagoitza					
lenendekoa	lenendecoa	lenendecoa					
lenagoitzakoa	lenagoitzacoa	lenagoitzacoa					
lenendea	lenendea	lenendea					
lenagoitz	lenagoitz	lenagoitz					
primazial	primacial	primacial					
lenkiro	lenquiro	lenquiro					
lenenkiro	lenenquiro	lenenquiro					
lenena	lenena	lenena					
lenasta	lenasta	lenaſta					
errokaia	errocaya	errocaya				errokai	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=errokai
udaberria	udaberria	udaberria	udaberri		udaberri	udaberri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=udaberri
eralora	eralora	eralora					
gusu-	gusu-	guſu-					
gusuitzatu	gusuitzatu	guſuitzatu					
lenbzia	lembcia	lembcia					
lenbizian	lembician	lembician					
lendabizian	lendabician	lendabician					
lenengoan	lenengoan	lenengoan					
lezkia	lezquia	lezquia					
lenbizikoa	lembicicoa	lembicicoa					
lendabizikoa	lendabicicoa	lendabicicoa					
lenengoa	lenengoa	lenengoa	lenengo	lenengo			
lenena	lenena	lenena					
seda biurtu bageko matazatxoa	seda biurtu bagueco matazachoa	ſeda biurtu bagueco matazachoa					
primizia	primicia	primicia	primizia				
lenbizia	lembicia	lembicia					
primizerioo	primicerioo	primicerioó					
lekina	lequiña	lequiñá					
leparka	leparca	leparcá					
leizatia	leizatia	leizatia					
lengusua	lengusua	lenguſua	lengusu				
lenijaioa	lenijayoa	lenijayoa				lenijaio	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=lenijaio
lenijaiotzea	lenijayotzea	lenijayotzea					
erederra	erederra	erederra				ereder	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ereder
manetasuna	manetasuna	manetaſuna					
lenastekoa	lenastecoa	lenaſtecoa					
erederki	erederqui	erederqui					
manoro	manoro	manoró					
erederto	erederto	erederto					
erederkiro	erederquiro	erederquiro					
manea	manea	manea				mane	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mane
erederra	erederra	erederra				ereder	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ereder
lenesa	lenesa	leneſá					
batezere	batezere	batezere					
berkziro	bercciro	bercciró					
bereziro	bereciro	bereciro					
lenastaro errakairo	lenastaro erracairo	lenaſtaro erracairo					
lenendikoro	lenendicoro	lenendicoro					
mandar	mandar	mandar	mandar		mandar	mandar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mandar
domiar	domiar	domiar					
lena	lena	lena					
lenena	lenena	lenena					
Frintzipea	Frincipea	Frincipea					
printzipela	principela	principela					
aslea	aslea	aslea					
asitzailea	asitzallea	aſitzallea					
asi	asi	aſi					
asia	asia	aſiá					
asiberria	asiberria	aſiberria					
asiera	asiera	aſiera					
dapurua	dapurua	dapurua					
koipaltu	coipaltu	coipaltu					
koipeztatu	coipeztatu	coipeztatu	koipeztatu	koipeztatu	koipeztatu	koipeztatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=koipeztatu
koipatua	coipatua	coipatua	koipatu	koipatu			
&k	&c	&c					
kotpatsua	cotpatsua	cotpatſua					
zeipez loitzea	ceipez loitzea	ceipez loitzea					
koipatsua	coipatsua	coipatſua	koipatsu				
koipea	coipea	coipea	koipe	koipe	koipe	koipe	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=koipe
aralika	aralica	aralica					
Briora	Briora	Briora					
dialena	dialena	dialena					
priorarra	priorarra	priorarra					
dialendarra	dialendarra	dialendarra					
prioratua dialenaitza	prioratua dialenaitza	prioratua dialenaitza					
leizagoa	leizagoa	leizagoa					
lenago izatea	lenago izatea	lenago izatea					
zentaria	centaria	centaria					
itsastea	itsastea	itſaſtea					
presondegia	presondeguia	preſondeguia	presondegi		presondegi	presondegi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=presondegi
gaistaua	gaistaua	gaiſtaua					
karriak	carriac	carriac					
balea ota bat	balea ota bat	balea ota bat					
lengoa	lengoa	lengoa					
antzinakoa	anciñacoa	anciñacoa	antzinako		antzinako	antzinako	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=antzinako
bagea	baguea	baguea	bage				
gabea	gabea	gabea	gabe		gabe	gabe	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gabe
baga	baga	bagá	baga		baga	baga	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=baga
bajeera	bageera	bageera					
bagietzeka	baguietzeca	baguietzeca					
kaiztea	caiztea	caiztea					
kaizteera	caizteera	caizteera					
zila egl	cilla egl	cilla egl					
lerada	lerada	leradá					
bakarrean	bacarrean	bacarrean	bakarrean				
inorba gero	iñorba guero	iñorba guero					
nihoragetro	nihoraguetro	nihoraguetro					
gosardea	gosardea	goſardea				gosarde	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=gosarde
agetua	aguetua	aguetua					
kordeagetu	cordeaguetu	cordeaguetu					
kordeagetua	cordeaguetua	cordeaguetua					
utzi	utzi	utzi	utzi		utzi	utzi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=utzi
larga	larga	larga					
batarra	batarra	batarra					
bakoeia	bacoeya	bacoeya					
batarkiro	batarquiro	batarquiro					
bakoikiro	bacoiquiro	bacoiquiro					
batarra	batarra	batarra					
bagetzailea	baguetzallea	baguetzallea					
kaiztaria	caiztaria	caiztaria					
gailalditu	gallalditu	gallalditu					
bakoilegetu	bacoileguetu	bacoileguetu					
gailalditua	gallalditua	gallalditua					
gailaldia	gallaldia	gallaldia					
bakoilegea	bacoileguea	bacoileguea					
pribiltsejioa	privilsegioa	privilſegioa					
frogabidea	frogabidea	frogabidea	frogabide		frogabide	frogabide	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=frogabide
bilabidea	billabidea	billabidea				bilabide	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bilabide
bilabidea	billabidea	billabidea				bilabide	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bilabide
frogabidearra	frogabidearra	frogabidearra					
bilabidearra	billabidearra	billabidearra					
rogabidekoa	rogabidecoa	rogabidecoa					
bilabidekoa	billabidecoa	billabidecoa					
frogararria	frogararria	frogararria					
progakizuna	progaquizuna	progaquizuna					
srogabidero	srogabidero	ſrogabidero					
bilabidero	billabidero	billabidero					
frogatzailea	frogatzallea	frogatzallea				frogatzaile	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=frogatzaile
dantzkitzailea	danzquitzallea	danzquitzallea					
dastaria	dastaria	daſtaria				dastari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dastari
mikaria	micaria	micaria					
mikaera	micaera	micaera					
dastaera	dastaera	daſtaera					
bedoia	bedoya	bedoya				bedoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=bedoi
frogatu	frogatu	frogatu	frogatu		frogatu	frogatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=frogatu
progatu	progatu	progatu					
dantzkitu	danzquitu	danzquitu					
jrogatua	jrogatua	jrogatua					
dastatu	dastatu	daſtatu	dastatu		dastatu	dastatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dastatu
mikatu	micatu	micatu					
dastatua	dastatua	daſtatua	dastatu		dastatu	dastatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dastatu
meatua	meatua	meatua					
aldebitakoa	aldebitacoa	aldebitacoa					
desbergentza	desverguenza	deſverguenza					
erarta	erarta	erarta					
joaita	joaita	joaita					
erartatu	erartatu	erartatu					
joaitatu	joaitatu	joaitatu					
joaitatu	joaitatu	joaitatu					
jaio	jayo	jayo	jaio		jaio	jaio	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jaio
sortu	sortu	ſortu	sortu		sortu	sortu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sortu
etorri	etorri	etorri	etorri		etorri	etorri	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=etorri
joaita	joaita	joaita					
erartak	erartac	erartac					
joaitak	joaitac	joaitac					
luzea	lucea	lucea	luze		luze	luze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=luze
dialena	dialena	dialena					
goitaera	goitaera	goitaera					
auzioaitarra	aucioaitarra	aucioaitarra					
auzijoaitatu	aucijoaitatu	aucijoaitatu					
auzijoaitatua	aucijoaitatua	aucijoaitatua					
jaiotzea	jayotzea	jayotzea				jaiotze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jaiotze
sortzea	sortzea	ſortzea			sortze	sortze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=sortze
etortzea	etortzea	etortzea				etortze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=etortze
prozesiokoa	procesiocoa	proceſiocoa					
donejoaitakoa	donejoaitacoa	donejoaitacoa					
prozesioka	procesioca	proceſioca					
doneaitaka	doneaitaca	doneaitaca					
auzijoaita	aucijoaita	aucijoaita					
prozesoa	procesoa	proceſoa	prozeso	prozeso		prozeso	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prozeso
prestegoia	prestegoya	preſtegoya				prestegoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=prestegoi
gertugoia	guertugoya	guertugoya					
deia	deya	deya	dei		dei	dei	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=dei
pregoia	pregoia	pregoiá	pregoi		pregoi	pregoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=pregoi
etzina	etziña	etziña					
grinatua	griñatua	griñatua	grinatu		grinatu	grinatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=grinatu
makurra	macurra	macurra	makur		makur	makur	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=makur
bakarkidor dea	bacarquidor dea	bacarquidor dea					
bakarkidordekoa	bacarquidordecoa	bacarquidordecoa					
humegita	humeguita	humeguita					
humeuilea	humeuillea	humeuillea					
humegita ria	humeguita ria	humeguita ria					
humegitatu	humeguitatu	humeguitatu					
humeak egin	humeac eguin	humeac eguin					
humegitatua	humeguitatua	humeguitatua					
okindaria	oquindaria	oquindaria				okindari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=okindari
okindatu	oquindatu	oquindatu					
gomatzea	gomatzea	gomatzea					
okindatua	oquindatua	oquindatua					
luzaurrera	luzaurrera	luzaurrera					
eriandea	eriandea	eriandea					
irioidea	irioidea	irioidea				irioide	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=irioide
geitugaria	gueitugaria	gueitugaria					
eriandero	eriandero	eriandero					
irioidero	irioidero	irioidero					
geitugariro	gueitugariro	gueitugariro					
geitala	gueitala	gueitalá					
miraria	miraria	miraria	mirari	mirari	mirari	mirari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mirari
gitaldunkiro	guitaldunquiro	guitaldunquiro					
geitalduna	gueitalduna	gueitalduna					
eriatzailea	eriatzallea	eriatzallea					
irioitaria	irioitaria	irioitaria				irioitari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=irioitari
geitugaria	gueitugaria	gueitugaria					
banernea	banernea	banernea				banerne	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=banerne
banernega-	banernega-	banernega-					
banernetzailea	banernetzallea	banernetzallea					
banernetu	banernetu	banernetu					
banernetua	banernetua	banernetua					
baneruea	baneruea	baneruea					
banernekoia	banernecoya	banernecoya					
bakaraitu	bacaraitu	bacaraitu					
sartaurrekoa	sartaurrecoa	ſartaurrecoa					
ekilengoa	equilengoa	equilengoa					
sartaurrea ekilena	sartaurrea equilena	ſartaurrea equilena					
bazainu	bazañu	bazañú					
egitatea	eguitatea	eguitatea	egitate		egitate	egitate	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=egitate
eztondeteea	eztondeteea	eztondeteea					
eztondarro	eztondarro	eztondarró					
eztondetu	eztondetu	eztondetu					
ganustarra	ganustarra	ganuſtarra				ganustar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ganustar
eztondaria	eztondaria	eztondaria					
eztondekoa	eztondecoa	eztondecoa					
txismoso zentsurador	chismoso censurador	chiſmoſo cenſurador					
murmurar	murmurar	murmurar					
abominar	abominar	abominar					
abominazion	abominacion	abominacion					
deskredito	descredito	deſcredito					
etorkizunen asmegia	etorquizunen asmeguia	etorquizunen aſmeguia					
pro fezia	pro fecia	pro fecia					
asmegitaria	asmeguitaria	aſmeguitaria				asmegitari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=asmegitari
profeta	profeta	profeta	profeta		profeta	profeta	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=profeta
asmegikiro	asmeguiquiro	aſmeguiquiro					
asmegitarra	asmeguitarra	aſmeguitarra					
asmegitaria	asmeguitaria	aſmeguitaria				asmegitari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=asmegitari
asmegitatu	asmeguitatu	aſmeguitatu					
ekabildu	ecabildu	ecabildu					
profesatu	profesatu	profeſatu					
ekabildu	ecabildu	ecabildu					
kabildea	cabildea	cabildea				kabilde	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=kabilde
profesioa	profesioa	profeſioa			profesio	profesio	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=profesio
ekabildua	ecabildua	ecabildua					
profesatua	profesatua	profeſatua				profesatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=profesatu
ekabildaria	ecabildaria	ecabildaria					
profesorea	profesorea	profeſorea				profesore	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=profesore
desegin	deseguin	deſeguin	desegin		desegin	desegin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=desegin
garaitu	garaitu	garaitu	garaitu		garaitu	garaitu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=garaitu
azpiratu	azpiratu	azpiratu			azpiratu	azpiratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azpiratu
entzutu	enzutu	enzutu					
leizondoro	leizondoro	leizondoro					
gaintondoro	gaintondoro	gaintondoro					
barnatu	barnatu	barnatu	barnatu	barnatu	barnatu	barnatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=barnatu
barrendu	barrendu	barrendu	barrendu	barrendu	barrendu	barrendu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=barrendu
barrutu	barrutu	barrutu	barrutu	barrutu			
barnatua	barnatua	barnatua	barnatu	barnatu	barnatu	barnatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=barnatu
&k	&c	&c					
leizondoa	leizondoa	leizondoa					
gaintondoa	gaintondoa	gaintondoa					
itsas ondarra	itsas ondarra	itſas ondarra					
ondoa	ondoa	ondoa	ondo		ondo	ondo	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ondo
gaintondoa	gaintondoa	gaintondoa					
ubarna	ubarna	ubarná					
ondokoia	ondocoya	ondocoya				ondokoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ondokoi
barnakoia	barnacoya	barnacoya				barnakoi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=barnakoi
jeerazion	geeracion	geeracion					
gurasoa	gurasoa	guraſoa	guraso		guraso	guraso	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=guraso
izkiraldakaia	izquiraldacaya	izquiraldacaya					
jarraikintza	jarraiquintza	jarraiquintza					
jarraikina	jarraiquiña	jarraiquiña				jarraikin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=jarraikin
ekinastea	equiñastea	equiñaſtea					
debekua	debecua	debecua	debeku		debeku	debeku	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=debeku
iralota	iralota	iralota					
hartz	hartz	hartz	hartz		hartz	hartz	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=hartz
debekatu	debecatu	debecatu	debekatu		debekatu	debekatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=debekatu
iralotu	iralotu	iralotu					
hartzaratu	hartzaratu	hartzaratu					
debekatua	debecatua	debecatua	debekatu		debekatu	debekatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=debekatu
&k	&c	&c					
debekaria	debecaria	debecaria					
deekatzailea	deecatzallea	deecatzallea					
iralotzailea	iralotzallea	iralotzallea					
iralotaria	iralotaria	iralotaria					
hartzarazalea	hartzarazalea	hartzarazalea					
porfia	porfia	porfia					
porfiar	porfiar	porfiar					
atribuir	atribuir	atribuir					
atxakar	achacar	achacar					
humeak	humeac	humeac					
semeak	semeac	ſemeac	seme		seme	seme	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=seme
izkribaurrea	izcribaurrea	izcribaurrea					
txarra	charra	charra	txar		txar	txar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txar
txatarra	chatarra	chatarra	txatar	txatar	txatar	txatar	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=txatar
humegina	humeguiña	humeguiña					
humegilea	humeguillea	humeguillea					
luzerodero	lucerodero	lucerodero					
luzaro	luzaro	luzaro	luzaro				
astiro	astiro	aſtiró	astiro				
astirodero	astirodero	aſtiroderó					
luzerodea	lucerodea	lucerodea					
astirodea	astirodea	aſtirodea					
luzeegia	luceeguia	luceeguia					
astitsuegia	astitsueguia	aſtitſueguia					
luzerodetia	lucerodetia	lucerodetia					
astirodetia	astirodetia	aſtirodetia					
hitzaurrea	hitzaurrea	hitzaurrea	hitzaurre	hitzaurre	hitzaurre	hitzaurre	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=hitzaurre
mitaitzina	mitaitzina	mitaitzina				mitaitzin	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=mitaitzin
luzaera	luzaera	luzaera	luzaera	luzaera			
luzatzea	luzatzea	luzatzea				luzatze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=luzatze
luzaro	luzaro	luzaro	luzaro				
luzaotu	luzaotu	luzaotu					
luzeegitu	luceeguitu	luceeguitu					
luzarotua	luzarotua	luzarotua					
&k	&c	&c					
esangia	esanguia	eſanguia	esangi			esangi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=esangi
luzetasuna	lucetasuna	lucetaſuna	luzetasun		luzetasun	luzetasun	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=luzetasun
luzaera	luzaera	luzaera	luzaera	luzaera			
prelusion	prelusion	preluſion					
erdizkatu	erdizcatu	erdizcatu	erdizkatu		erdizkatu	erdizkatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erdizkatu
igoaldu	igoaldu	igoaldu					
artetu	artetu	artetu	artetu		artetu	artetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=artetu
artetua	artetua	artetua	artetu		artetu	artetu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=artetu
erdia	erdia	erdia	erdi		erdi	erdi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=erdi
erdizkada	erdizcada	erdizcada					
agindea	aguindea	aguindea	aginde	aginde		aginde	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aginde
promesa	promesa	promeſa	promesa		promes	promes	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=promes
loskainia	loscañia	loſcañia					
agindaria	aguindaria	aguindaria					
promesaria	promesaria	promeſaria					
loskaindaria	loscaindaria	loſcaindaria				loskaindari	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=loskaindari
agindu	aguindu	aguindu	agindu		agindu	agindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=agindu
promestu	promestu	promeſtu	promestu	promestu	promestu	promestu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=promestu
luskandu	luscandu	luſcandu					
loskainrdu	loscainrdu	loſcainrdu					
agindua	aguindua	aguindua	agindu		agindu	agindu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=agindu
iratxeden	iracheden	iracheden					
gandirua	gandirua	gandirua					
karnasiro	carnasiro	carnaſiró					
karnasia	carnasia	carnaſia				karnasi	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=karnasi
promesa	promessa	promeſſa	promesa		promes	promes	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=promes
agindekoa	aguindecoa	aguindecoa					
promeskoa	promescoa	promeſcoa					
loskainikoa	loscañicoa	loſcañicoa					
goigo	goigo	goigo					
goijeatea	goigeatea	goigeatea					
aurreratzea	aurreratzea	aurreratzea				aurreratze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aurreratze
aitzinatzea	aitzinatzea	aitzinatzea				aitzinatze	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aitzinatze
munoa	munoa	munoa	muno	muno		muno	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=muno
goigoaria	goigoaria	goigoaria					
goigotaria	goigotaria	goigotaria					
jigoatu	gigoatu	gigoatu					
aurreratu	aurreratu	aurreratu	aurreratu		aurreratu	aurreratu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aurreratu
jeigoatua	geigoatua	geigoatua					
publikar	publicar	publicar					
ortizena	orticena	orticena				ortizen	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=ortizen
asmekotaria	asmecotaria	aſmecotaria					
aztiataria	aztiataria	aztiataria					
aztia	aztia	aztia	azti		azti	azti	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=azti
aztina	aztina	aztina					
asmekotu	asmecotu	aſmecotu					
aztiatu	aztiatu	aztiatu	aztiatu	aztiatu	aztiatu	aztiatu	https://www.euskaltzaindia.eus/index.php?option=com_oehberria&task=bilaketa&Itemid=413&lang=eu&query=aztiatu
asnatu	asnatu	aſnatu					
asmekotua	asmecotua	aſmecotua					
&k	&c	&c					
asnekoa	asnecoa	aſnecoa					
aztiaira	aztiaira	aztiaira					
