a.odá,a.oda
lu cea,lu zea
lubesa,lubesa
lubetatu,lubetatu
luboichoa,luboikhoa
luceagotu,luzeagotu
luceeguia,luzeegia
luceeguitu,luzeegitu
lúceeguitua,luzeegitua
lucerodea,luzerodea
lucerodero,luzerodero
lucerodetia,luzerodetia
luceronz,luzerontz
lucetarquiro,luzetarkiro
lucetzallea,luzetzailea
luchaquidia,lukhakidia
lucharbia,lukharbia
lucharbiacia,lukharbiazia
lucharbidia,lukharbidia
luciazalda,luziazalda
luciloa,luziloa
luconsaya,lukontsaia
lucurarigoa,lukurarigoa
lucurutia,lukurutia
ludardara,ludardara
lugorchecatu,lugorkhekatu
lugorritú,lugorritu
lular-agaeria,lular-agaeria
lulicurta,lulikurta
lulicurtatu,lulikurtatu
lulicurtatua,lulikurtatua
lulicurtatzea,lulikurtatzea
lulicurtoncia,lulikurtontzia
lumac quedu,lumak kedu
lumach andia,lumakh andia
lumachea,lumakhea
lumachoa,lumakhoa
lumazco galyurra,lumazko galddurra
lumaztu,lumaztu
lumaztua,lumaztua
lumerneac quendu,lumerneak kendu
lumernetu,lumernetu
lumizpa,lumizpa
lumoroldia,lumoroldia
lunadta,lunadta
luneurta,luneurta
luneurtarra,luneurtarra
lupetoquia,lupetokia
lupetsua,lupetsua
lupetu,lupetu
lupeztu,lupeztu
lupilla,lupila
lupobitaria,lupobitaria
lupobitu,lupobitu
lupoderia,lupoderia
lupoilguillea,lupoilgilea
lupoiquiña,lupoikina
lupuaá,lupuaa
lupuuala,lupuuala
lur lantzaco lanabesa,lur lantzako lanabesa
lurañoa,luranoa
lurañotu,luranotu
lurbuchan gordé,lurbukhan gorde
lurbuchatu,lurbukhatu
lurcalleta,lurkaileta
lurcalleta andia,lurkaileta andia
lurcalletac ezarri,lurkailetak ezarri
lurconcá,lurkonka
lurcuchá,lurkukha
Lureganda,Lureganda
lurgalleta,lurgaileta
lurgozacaitzac,lurgozakaitzak
luridutu,luridutu
luridutua,luridutua
luridutzallea,luridutzailea
lurpean sartu,lurpean sartu
lurpechá,lurpekha
lurpeco uleiza,lurpeko uleiza
lurra lantu,lurra lantu
lurrá muturcatu,lurra muturkatu
lurrac maneatu,lurrak maneatu
lurrac mugatu,lurrak mugatu
lurraspilla,lurraspila
lurraz josia,lurraz josia
lurraz jositzea,lurraz jositzea
lurre ratzallua,lurre ratzailua
lurren,lurren
lurrepaira,lurrepaira
lurrepairaz,lurrepairaz
lurresiac , &c,lurresiak , &k
lurrez,lurrez
lurrez estalia,lurrez estalia
lurrina artzea,lurrina artzea
lurrincaiguillea,lurrinkaigilea
lurruncaiguillea,lurrunkaigilea
lurrundaria,lurrundaria
lurrundu,lurrundu
lurrunduá,lurrundua
lurrunlu,lurrunlu
lurruntzallea,lurruntzailea
lurruspechoa,lurruspekhoa
lurruspetu,lurruspetu
lurrutsune queguilleac,lurrutsune kegileak
lurruzpechoa,lurruzpekhoa
lurtizquia,lurtizkia
lusaria,lusaria
luscandu,luskandu
lusiloa,lusiloa
lustretsuquiro,lustretsukiro
lusuilchoa,lusuilkhoa
lusuilteguia,lusuiltegia
lusullachoa,lusuilakhoa
lusullatu,lusuilatu
lutaldaitu,lutaldaitu
lutaldatsa,lutaldatsa
lutarra,lutarra
lutartetua,lutartetua
lutegoquia,lutegokia
lutepaira,lutepaira
lutesi andia,lutesi andia
lutesitu,lutesitu
luticasma,lutikasma
luticasmarra,lutikasmarra
lutormaz ichi,lutormaz ikhi
lutsunea,lutsunea
lutsunecoa,lutsunekoa
lutzadia,lutzadia
lutzia,lutzia
lutziada,lutziada
lutziatu,lutziatu
luzaagotu,luzaagotu
luzaeguitu,luzaegitu
luzandera,luzandera
luzaotu,luzaotu
luzarotua,luzarotua
luzartu,luzartu
luzatusun,luzatusun
luzaurrera,luzaurrera
luzoncá,luzonka
luzoquer miña,luzoker mina
luzuloa,luzuloa
ma ingutasuna,ma ingutasuna
ma-,ma-
macaiteguia,makaitegia
macarjario,makarjario
macartzea aldeetatic,makartzea aldeetatik
macaya,makaia
macerina,mazerina
macero,mazero
machacar,makhakar
machar,makhar
machatea,makhatea
machatu,makhatu
machetada,makhetada
machichaltoa,makhikhaltoa
machichucalde,makhikhukalde
machina,makhina
machisalto,makhisalto
machu-,makhu-
machure-,makhure-
machurea,makhurea
macrrera,makrrera
macuilla,makuila
macur izatea,makur izatea
macurgoa,makurgoa
macurrár item,makurrar item
macurtr,makurtr
macurtuáz dijoacenac,makurtuaz dijoazenak
macurtuaz laudaretuac,makurtuaz laudaretuak
macurturic landatuac,makurturik landatuak
madari Bergamotarra,madari Bergamotarra
madari chertatua,madari khertatua
madariaga,madariaga
madaricaria,madarikaria
madarichoa,madarikhoa
madrugada,madrugada
madrugador,madrugador
magaindu,magaindu
magal acitua,magal azitua
magalac acitu,magalak azitu
magalac guerriratu,magalak gerriratu
magalac guerriratua,magalak gerriratua
magalduna,magalduna
magalgiraca ibilli,magaljiraka ibili
magalgoitia,magalgoitia
magaña,magana
magarza,magartza
magia negra,majia negra
magorritu,magorritu
maguian sartu,magian sartu
maguiatic atera,magiatik atera
maguinchetac,maginkhetak
maguiratu,magiratu
maguiratua,magiratua
mahaintara,mahaintara
mahaintararia,mahaintararia
Mahomaren leteguia,Mahomaren letegia
Mahomarra,Mahomarra
Mahomarraidea,Mahomarraidea
maichoa,maikhoa
maiestalquia,maiestalkia
maifsuarquiro,maifsuarkiro
maiganquia,maigankia
mailcaicho-,mailkaikho-
maillbazalea,mailbazalea
mailleba,maileba
maillebá,maileba
maillebaquizuna,mailebakizuna
maillebataria,mailebataria
maillerrondea,mailerrondea
maillezpetua,mailezpetua
mailleztea,maileztea
maillizaria,mailizaria
maimaistrea,maimaistrea
maimbearra,mainbearra
main-,main-
mainatzea,mainatzea
mainchoa,mainkhoa
mainchoá,mainkhoa
maindirean,maindirean
maindirechoa,maindirekhoa
maindiretu,maindiretu
maingu irudin,maingu irudin
mainquindacoa,mainkindakoa
maintara,maintara
mainteuia,mainteuia
mainzaya,maintzaia
maiquidecoa,maikidekoa
Mairuarteco Christaua,Mairuarteko Christaua
Mairuchoa,Mairukhoa
Mairudia,Mairudia
Mairuen,Mairuen
Mairuen eche charrac,Mairuen ekhe kharrak
Mairuen erreuea,Mairuen erreuea
Mairuen mantu bat,Mairuen mantu bat
Mairuen ojuac,Mairuen ojuak
Mairuen soñecoa jancigaya,Mairuen sonekoa jantzigaia
Mairuen soñecoaá,Mairuen sonekoaa
Mairueu hizcuntza Españarraquiu,Mairueu hizkuntza Espanarrakiu
Mairutoquia Mairuerria,Mairutokia Mairuerria
Maistrearen barrutia,Maistrearen barrutia
maisuaren emaztea,maisuaren emaztea
Maisuarra,Maisuarra
maisuera,maisuera
maisuera-,maisuera-
maisuerara,maisuerara
maisueratu,maisueratu
maisueratua,maisueratua
maisuguisa,maisugisa
maisuqueriaraco icendatua,maisukeriarako izendatua
maitaedaria,maitaedaria
maitaitzallea,maitaitzailea
maitaquiro.,maitakiro.
maitaragueya,maitarageia
maitarea,maitarea
maitautsi,maitautsi
maiteguia,maitegia
maitequiró onesqui,maitekiro oneski
maiterazcorra,maiterazkorra
maiterazo,maiterazo
maiterazoa,maiterazoa
maiterazotzallea,maiterazotzailea
maititzaria,maititzaria
maititzatu,maititzatu
maititzatua,maititzatua
maitzatzallea maitea,maitzatzailea maitea
maizaina,maizaina
maizalea,maizalea
maizanrrea,maizanrrea
maizaro,maizaro
maizaya,maizaia
maizcho,maizkho
maizeta,maizeta
maizetan,maizetan
maiztaria,maiztaria
maja dera,maja dera
majaderadia,majaderadia
majestas,majestas
mal gutu,mal gutu
maladia,maladia
malado,malado
malaltia,malaltia
malastau,malastau
malastu,malastu
malbaratar,malbaratar
malcorrera,malkorrera
maldad,maldad
malesi-,malesi-
malguquiro,malgukiro
maliadura,maliadura
maliatu,maliatu
maliatzallea,maliatzailea
maliatzea,maliatzea
malilla,malila
malladura,mailadura
mallaguiiña,mailagiina
mallaina,mailaina
mallarquiro,mailarkiro
mallatzea,mailatzea
mallaz janci,mailaz jantzi
malleurtu,maileurtu
mallizá,mailiza
mallizatu,mailizatu
mallizatua obeagotua,mailizatua obeagotua
mallosta,mailosta
malluisca,mailuiska
malluquitu,mailukitu
malotada,malotada
malquistar,malkistar
malrotar,malrotar
malsocaitza,maltsokaitza
malsoezgarria,maltsoezgarria
malsoro,maltsoro
maltsaro,maltsaro
maltsoquiro,maltsokiro
mamacaya,mamakaia
mamadea,mamadea
mamaldia,mamaldia
mamatzallea,mamatzailea
mamdá,mamda
mamizurduna,mamizurduna
mamizurra,mamizurra
mamoztatu,mamoztatu
mamu icaragarria,mamu ikaragarria
mamuza,mamuza
mañabague,manabage
manada,manada
manago-,manago-
managoá,managoa
managoeza,managoeza
manar,manar
mañasoá,manasoa
mañatia,manatia
mañatiro,manatiro
manauca,manauka
manaurca,manaurka
manaurcá,manaurka
manaurcaró,manaurkaro
manaurqueza,manaurkeza
mañaz,manaz
manceba,mantzeba
mancha,mankha
manchagarria,mankhagarria
manchatu,mankhatu
manchatua,mankhatua
manchea,mankhea
mancue ra,mankue ra
manda,manda
mandatari bitartecoa,mandatari bitartekoa
mandato,mandato
mandica,mandika
mandula,mandula
mane-,mane-
maneaaguetu,maneaagetu
maneaiu,maneaiu
maneat,maneat
maneera,maneera
maneota,maneota
maneraro,maneraro
maneraró,maneraro
maneratu,maneratu
maneratzallea,maneratzailea
mañeru,maneru
manetasuna,manetasuna
maneurlatu,maneurlatu
maneurria,maneurria
manga,manga
manguitoquiña,mangitokina
maniatra,maniatra
manilla,manila
manipuloa,manipuloa
manita,manita
manoro,manoro
manoró,manoro
manoró apaindu,manoro apaindu
mansedumbre,mantsedunbre
mantaguillea,mantagilea
mantan,mantan
mantarratu,mantarratu
mantatu,mantatu
mantellina,manteilina
mantenimiento,mantenimiento
mantuguillea,mantugilea
mantuguiña,mantugina
manurgaren ointeguia,manurgaren ointegia
manurgari bigarrena,manurgari bigarrena
manurgaricharra,manurgarikharra
manurgatu,manurgatu
manutisá,manutisa
maquiatu,makiatu
maquiera,makiera
maquillatea,makilatea
maquillaz,makilaz
maquillaz jo,makilaz jo
mar artezá,mar arteza
marabilla,marabila
marabillagarria,marabilagarria
marabillasquiro,marabilaskiro
marabillatu,marabilatu
marangá,maranga
marbel.chá,marbel.kha
marboillaeuia,marboilaeuia
marboillarra,marboilarra
marburua,marburua
marcar,markar
marcena,martzena
marchar,markhar
marchatu,markhatu
marchea,markhea
Marchoarra,Markhoarra
mardarrosa,mardarrosa
mareo,mareo
mareoa,mareoa
mareta,mareta
marfilezcoa,marfilezkoa
marfonditú,marfonditu
marfonditua,marfonditua
margarriro,margarriro
marginis,marjinis
marguinarra,marginarra
marguindu,margindu
marica,marika
marino,marino
mariposilla,mariposila
mariscalaren goyendea,mariskalaren goiendea
mariscalia,mariskalia
marmarizcatu,marmarizkatu
maroro,maroro
Marquesaren barrutia,Markesaren barrutia
Marquesea,Markesea
marquindarra,markindarra
marquindu,markindu
marra-,marra-
marraguea,marragea
marrangatu,marrangatu
marraquida,marrakida
marraquidatu,marrakidatu
marrartearra,marrartearra
marrauquetu,marrauketu
marrcntatua,marrkntatua
marrerdiró,marrerdiro
marriadura,marriadura
marriatu,marriatu
marriatzea,marriatzea
marric cztuena,marrik kztuena
marrichoa,marrikhoa
marroinac,marroinak
marrola,marrola
marrolaren lerroa,marrolaren lerroa
marroldaria,marroldaria
marroldu,marroldu
marroldua,marroldua
marroldura,marroldura
marroraco,marrorako
marrubiacaegotea,marrubiakaegotea
marrubiatu,marrubiatu
marrumatu,marrumatu
marrutsac,marrutsak
marsoya,martsoia
martalarrua,martalarrua
martorria,martorria
marzucena,martzuzena
masallandi,masailandi
masallean,masailean
masbildua,masbildua
masbiltza,masbiltza
masbiltzallea,masbiltzailea
mascaera,maskaera
mascalquiro,maskalkiro
mascatu,maskatu
maschuria,maskhuria
mascorchoa,maskorkhoa
masculloguillea,maskuilogilea
masculuchoa,maskulukhoa
mascuolloa,maskuoiloa
mascuricada,maskurikada
mascutloa,maskutloa
masiagañecoac,masiaganekoak
masmordoa,masmordoa
masmueta bat,masmueta bat
maspatsa,maspatsa
masqueldea,maskeldea
masquelera,maskelera
masqueltasuna , &c,maskeltasuna , &k
masti berria,masti berria
mastietan esolac paratu,mastietan esolak paratu
mastitza,mastitza
mastizalea,mastizalea
mastizaya,mastizaia
mastricagarria uchaleorra,mastrikagarria ukhaleorra
mastriuea,mastriuea
masusta mota bat,masusta mota bat
mataderia,mataderia
matarrata,matarrata
matazac lisiban sartu,matazak lisiban sartu
matazachoa,matazakhoa
matelgabetu,matelgabetu
materalquia,materalkia
matizatu,matizatu
mats belchac,mats belkhak
mats churiac,mats khuriak
mats eldubagueac,mats eldubageak
mats goiztarrac,mats goiztarrak
mats motea,mats motea
mats motedia,mats motedia
matsac bildu,matsak bildu
matsale eroriac,matsale eroriak
matsaradia,matsaradia
matsen oritsea,matsen oritsea
matsola,matsola
matsondoac,matsondoak
matsorria,matsorria
matsostoa,matsostoa
matsugaria,matsugaria
maturia,maturia
mauca-,mauka-
maucada,maukada
maucatzarra,maukatzarra
mauleria,mauleria
mauquesequia,maukesekia
mayazquenac,maiazkenak
mayeco ezcutaria,maieko ezkutaria
mayenzaya,maientzaia
mayontziac,maiontziak
mazorquea,mazorkea
mazorrala,mazorrala
mcenea,mzenea
mcezprezatzallea,mzezprezatzailea
Mdairuen garizuma,Mdairuen garizuma
Mdairuen oraeztia,Mdairuen oraeztia
Mdairutoquia,Mdairutokia
Mdarchocoa,Mdarkhokoa
me nasquintza,me naskintza
me uincorra,me uinkorra
mea bacuna,mea bakuna
meachá,meakha
meachalea,meakhalea
meachaquida,meakhakida
meachaquidatu,meakhakidatu
meacharia,meakharia
meachatú,meakhatu
meachatua,meakhatua
meachazcoa,meakhazkoa
meaera,meaera
meagarza,meagartza
meamequeria,meamekeria
mearchoa,mearkhoa
mearcuna,mearkuna
mearquea,mearkea
mearquera,mearkera
mearqui,mearki
mearquiro,mearkiro
mearquiró,mearkiro
mearra,mearra
mearrá,mearra
mearragotu,mearragotu
mearreguitu,mearregitu
mearritu,mearritu
mearritua,mearritua
meartasuna,meartasuna
meartasúna,meartasuna
meartu,meartu
meartua,meartua
meartza,meartza
meartzallea,meartzailea
meartzatu,meartzatu
meartzatua,meartzatua
meartzea,meartzea
meastu,meastu
meatsunea,meatsunea
meatsunetu,meatsunetu
meatu,meatu
meatua,meatua
meatzar oria,meatzar oria
meatzecó eristalá,meatzeko eristala
meazagotu,meazagotu
meazcuná,meazkuna
meazeguitu,meazegitu
meazque , ra,meazke , ra
meaztaria,meaztaria
meaztu,meaztu
meaztzallea,meaztzailea
meaztze,meaztze
mebraná,mebrana
mecha,mekha
mechachoa,mekhakhoa
mechatu,mekhatu
mechatzarrá,mekhatzarra
mecheusquia,mekheuskia
Mechoacango sustrai bat,Mekhoakango sustrai bat
mechorratza,mekhorratza
mechurigaña,mekhurigana
medallatzarra,medailatzarra
medallea,medailea
medicamento,medikamento
medicina,medizina
medicinar,medizinar
medida,medida
medir,medir
medratu,medratu
medroso,medroso
meeagotu,meeagotu
meeagotua,meeagotua
meechoa,meekhoa
meecuná,meekuna
meedunac,meedunak
meeguitu,meegitu
meequera,meekera
meequi,meeki
meequiro,meekiro
meequiró,meekiro
meetasuna,meetasuna
meetu,meetu
meetua,meetua
meetzallea,meetzailea
meetze,meetze
megaildu,megaildu
megopearra,megopearra
megopera,megopera
megopetu,megopetu
meguicortza,megikortza
meguindaria,megindaria
meguindea,megindea
meguinderó,megindero
meguindu,megindu
meguindú,megindu
meguindua,megindua
meguinduro,meginduro
meguingarria,megingarria
meguingartria,megingartria
meguintsuro,megintsuro
meguintzea,megintzea
melancia,melantzia
melancolico,melankoliko
melerquicada,melerkikada
melerquidia,melerkidia
meliriá,meliria
mellatu,meilatu
meloi guisacoa,meloi gisakoa
meloi saltzallea,meloi saltzailea
meloichoa,meloikhoa
meloidia,meloidia
meloizaya,meloizaia
meloyaga,meloiaga
mem-,mem-
mementoac , Me,mementoak , Me
Memnonidas,Memnonidas
memoria recuerdo,memoria rekuerdo
mempegoquia,menpegokia
mempetiro,menpetiro
men aundiaren emallea,men aundiaren emailea
menadea,menadea
menaitza,menaitza
menaldeera,menaldeera
menaldiro,menaldiro
menaldiza,menaldiza
menaldiztu,menaldiztu
menandeguetu,menandegetu
menandetu,menandetu
menandez,menandez
menapertu,menapertu
menas-,menas-
menasdilista,menasdilista
menaslora,menaslora
menasquintzacoa,menaskintzakoa
menasta erraustu,menasta erraustu
menastac birturtu,menastak birturtu
menastac urtu,menastak urtu
menastaren erraustea,menastaren erraustea
menaste oria,menaste oria
menásten sarrá,menasten sarra
menastorrichoa,menastorrikhoa
menatu,menatu
menatua,menatua
menaudetu,menaudetu
menautsi,menautsi
menda samurra,menda samurra
mendain,mendain
mendaindu,mendaindu
mendarea,mendarea
mendarocoa,mendarokoa
mendarotu,mendarotu
mendartecoa,mendartekoa
mendartetarra,mendartetarra
mendasquia,mendaskia
mendazpitu,mendazpitu
mendeán quidatua,mendean kidatua
mendeca,mendeka
mendecacorra,mendekakorra
mendecateza,mendekateza
mendematzalea,mendematzalea
mendeperatú,mendeperatu
mendera,mendera
menderaz,menderaz
mendersi,mendertsi
mendersia,mendertsia
mendestu,mendestu
mendéz mendéú,mendez mendeu
mendiac igaró,mendiak igaro
mendiac igaroa,mendiak igaroa
mendian eicean billi,mendian eizean bili
mendiarra,mendiarra
mendibidea,mendibidea
mendichoa,mendikhoa
mendico eistaria,mendiko eistaria
mendieiza,mendieiza
mendietaco anyerusac,mendietako andderusak
mendiollarra,mendioilarra
mendit-aronzcoa,mendit-arontzkoa
menditic aronzcoa,menditik arontzkoa
menditononzcoa,menditonontzkoa
menditunonzcoa,menditunontzkoa
mendiz betea,mendiz betea
menean paratu,menean paratu
menean paratua,menean paratua
meneaz,meneaz
meneguin,menegin
meneguiquiro,menegikiro
meneguitarra,menegitarra
menelaura,menelaura
menequiatu,menekiatu
menequiotird,menekiotird
menequiotiro,menekiotiro
meneraru,meneraru
meneratzea,meneratzea
menirria,menirria
menoscabetu,menoskabetu
menpegoá,menpegoa
menpeticquendu,menpetikkendu
mensage,mentsaje
mensagero,mentsajero
mentecato,mentekato
mentira,mentira
mentu ederra,mentu ederra
mentura andia,mentura andia
menturatsiua,menturatsiua
menturaz,menturaz
mentutu,mentutu
mentutua,mentutua
mentzia,mentzia
meoiscaya,meoiskaia
meoscatu,meoskatu
mepondardea,mepondardea
mepondaria,mepondaria
mepondea,mepondea
mepondetu,mepondetu
mepondetzea,mepondetzea
mequindea,mekindea
mer cazaya,mer kazaia
mer-,mer-
mercaderian,merkaderian
mercadua,merkadua
mercaduria,merkaduria
mercadurietaco maya,merkadurietako maia
mercaritu,merkaritu
mercatalgoan ari,merkatalgoan ari
mercatariquintza,merkatarikintza
mercaturia,merkaturia
mercazaigoa,merkazaigoa
mercazayaren saria,merkazaiaren saria
merchedea,merkhedea
mercheria,merkheria
mercheroa,merkheroa
Mercuriarra,Merkuriarra
Mercurio izarra,Merkurio izarra
mere-,mere-
merecidamente,merezidamente
mereciró,mereziro
mermatu,mermatu
meroso,meroso
merqiegui ifinia,merqiegi ifinia
merqué ifini,merke ifini
merquechoa,merkekhoa
merquetueguia,merketuegia
mesana,mesana
mesaná,mesana
mesatu,mesatu
meson,meson
mestisá,mestisa
mestisatu,mestisatu
mestisoró,mestisoro
mesura,mesura
metachoa,metakhoa
metaera,metaera
metony-,metondd-
metrificador,metrifikador
meua,meua
meutsitu,meutsitu
Meza esaten duenean,Meza esaten duenean
Meza lagundu,Meza lagundu
mezacantaria,mezakantaria
mezaeta,mezaeta
mezandaria,mezandaria
Mezataco zuccendea,Mezatako zukzendea
mezclar,mezklar
mezguchidea,mezgukhidea
mezguchigarria,mezgukhigarria
mezguchitua,mezgukhitua
mezola,mezola
mezolatu,mezolatu
mezpreza,mezpreza
mezprezagarria,mezprezagarria
mezprezaria,mezprezaria
Mezquita,Mezkita
mezuquida,mezukida
mi azpico zainac,mi azpiko zainak
mi-,mi-
mialea,mialea
miaren suandigoa,miaren suandigoa
miaria,miaria
miauca asi,miauka asi
miaurtú,miaurtu
miaurtuá,miaurtua
micaera,mikaera
micaltaria,mikaltaria
micaltatu,mikaltatu
micaltatua,mikaltatua
micaria,mikaria
micatu,mikatu
micheletea,mikheletea
mierlea,mierlea
miga de,miga de
migabea,migabea
migaña,migana
mihischoa,mihiskhoa
mihissa,mihisa
miichoa,miikhoa
miisa,miisa
mijaletua,mijaletua
milagroz,milagroz
millandeta,milandeta
millarada,milarada
millatza,milatza
milliscada,miliskada
milliscaria,miliskaria
milliscatu limicatu,miliskatu limikatu
milliscaya,miliskaia
milocha,milokha
miloquia,milokia
min bicia,min bizia
minar,minar
miñariiua,minariiua
miñaritu,minaritu
miñariz dagoana,minariz dagoana
minaspilla,minaspila
mincacha,minkakha
mincachá,minkakha
mincaistu,minkaistu
mincaistua,minkaistua
mincaiztaria,minkaiztaria
mincaiztu,minkaiztu
mincaiztua,minkaiztua
minchoa,minkhoa
miñez,minez
mingainchoa,mingainkhoa
mingaña,mingana
mingañeco zañac,minganeko zanak
mingogortú,mingogortu
mingorriaz dagoana,mingorriaz dagoana
mingorritu,mingorritu
mingorritua,mingorritua
mingortu,mingortu
minio,minio
ministroaren urrena,ministroaren urrena
minizta,minizta
miniztatu,miniztatu
minoa,minoa
miñoria,minoria
minquiro,minkiro
minquiró,minkiro
minriztatua,minriztatua
minzagabetu,mintzagabetu
minzoquiteguia,mintzokitegia
miquindero,mikindero
miquinera,mikinera
miquinquiro,mikinkiro
mirabilla,mirabila
mirabillasqpuiro,mirabilasqpuiro
mirabillatu,mirabilatu
mirada,mirada
miraga,miraga
miraquin beltza,mirakin beltza
miraquindea,mirakindea
mirar,mirar
mirariquia,mirarikia
miraritzea,miraritzea
mirariz,mirariz
mirariz betetzea,mirariz betetzea
mirarizlea,mirarizlea
mirariztu,mirariztu
miratsua,miratsua
miresquiro,mireskiro
miretseraguin,miretseragin
miretserazo,miretserazo
miritzia,miritzia
miriztuna,miriztuna
mirotzaya,mirotzaia
mirozchoa,mirozkhoa
mirralica,mirralika
miru mota bat,miru mota bat
mirumota bat,mirumota bat
misera urrutiracoa,misera urrutirakoa
misericordiosquiro,miserikordioskiro
misericordiotsua,miserikordiotsua
misteriosa-,misteriosa-
mistorrá,mistorra
miterra,miterra
miu-,miu-
miuquizgarriro,miukizgarriro
miuquiztu,miukiztu
mivgogortua,miugogortua
mixturar,mixturar
miz quetu,miz ketu
mizainas,mizainas
mizqueera,mizkeera
mizquetatu,mizketatu
mizquindea,mizkindea
mizquinquiro,mizkinkiro
Mlairuen zaldi ariiac,Mlairuen zaldi ariiak
mnsturia,mntsturia
mocaduehoa,mokaduehoa
mocha,mokha
mochaldia,mokhaldia
mochallea,mokhailea
mochilan sartua,mokhilan sartua
mochilla,mokhila
moco utsa,moko utsa
moco utsa izan,moko utsa izan
mocoaz jo,mokoaz jo
mococa ari,mokoka ari
mocochoa,mokokhoa
mocorreco miña,mokorreko mina
modaquiac eraquiac,modakiak erakiak
modcrratua,modkrratua
modefteza,modefteza
Moderá,Modera
moderá,modera
moderado,moderado
moderaqiro,moderaqiro
moderaquiro,moderakiro
moderar,moderar
moderaro,moderaro
moderezquiro,moderezkiro
modereztea,modereztea
modereztero,modereztero
modereztua,modereztua
modernea,modernea
modernero modernaquiro,modernero modernakiro
modesquiro,modeskiro
modesteza,modesteza
modestitsua,modestitsua
modesto,modesto
modestua,modestua
modista,modista
modorduna,modorduna
modorrá,modorra
modortu,modortu
moduchoa,modukhoa
modura,modura
modurria,modurria
modurrir boboro,modurrir boboro
modurritzarra,modurritzarra
moduz,moduz
mofa,mofa
mogigato,mojigato
mogorcada,mogorkada
moharrache,moharrakhe
moistea,moistea
moistu,moistu
moistú,moistu
moistua,moistua
mojada,mojada
molAquario,molAkario
molcheqnia,molkheqnia
moldaca,moldaka
moldacaitzae,moldakaitzae
moldacaizte.,moldakaizte.
moldacaiztu,moldakaiztu
moldacvizquiro,moldakbizkiro
moldagarria,moldagarria
moldaguetu,moldagetu
moldartzatu,moldartzatu
moldatsua,moldatsua
molde choa,molde khoa
moldeera,moldeera
moldefteza,moldefteza
molderatu,molderatu
moldersitu,moldertsitu
moldes baguero,moldes bagero
moldesgueró,moldesgero
moldesibaguea,moldesibagea
moldesibaguero,moldesibagero
moldesquiro,moldeskiro
moldez,moldez
moldizcaria,moldizkaria
molduratu,molduratu
moldurritu,moldurritu
molestar,molestar
molido,molido
molienda,molienda
molohorrica,molohorrika
molsoac bildu,moltsoak bildu
moltsoan saltzeco balindea,moltsoan saltzeko balindea
mondadientes,mondadientes
monedear,monedear
monjetara jayera artu,monjetara jaiera artu
monteraguillea,monteragilea
montoica,montoika
montoiera,montoiera
montoyac eguin,montoiak egin
moquete,mokete
moquita,mokita
morá,mora
mora-saltzallea,mora-saltzailea
morada,morada
moraga,moraga
moragarra,moragarra
moragú,moragu
moragueria,morageria
morboillacoa,morboilakoa
mordo guisara ifiñi,mordo gisara ifini
morechoa,morekhoa
moreina,moreina
moresca,moreska
moretzea,moretzea
morir,morir
morlesco morlesa,morlesko morlesa
morma,morma
mormatu,mormatu
mormatua,mormatua
mormor,mormor
morralla,morraila
morrallaurrea,morrailaurrea
morranta,morranta
morrclloa,morrkiloa
morroizaldia,morroizaldia
mortandad,mortandad
mortúarren,mortuarren
morua,morua
moruró,moruro
morutu,morutu
moscorra,moskorra
moscorrera,moskorrera
moscortu,moskortu
mostrar,mostrar
motaisca,motaiska
motaiscachoa,motaiskakhoa
motalaidea,motalaidea
motalaiquiro,motalaikiro
motazcoa,motazkoa
motazquiro,motazkiro
moteatu,moteatu
motel hitzeguin,motel hitzegin
motelhitzeguin,motelhitzegin
motetsua,motetsua
motetú,motetu
motetua,motetua
motez jancia,motez jantzia
moto goi lucea,moto goi luzea
mototsua,mototsua
motrai ruchoa,motrai rukhoa
motraillada,motrailada
motraillualdia,motrailualdia
motrairada,motrairada
motrairualdia,motrairualdia
motzez,motzez
motzitu,motzitu
moutoitua,moutoitua
mozpilla,mozpila
moztueza,moztueza
mrxac,mrxak
mu eguin,mu egin
mu garritzea,mu garritzea
mu-,mu-
muchedumbre,mukhedunbre
muchinarra,mukhinarra
mucuroztatua,mukuroztatua
mucurroró,mukurroro
mucurtu,mukurtu
mucururó,mukururo
mudar cambiar trocar,mudar kanbiar trokar
muerte,muerte
muerte violenta,muerte biolenta
muestra,muestra
muetazcoa,muetazkoa
muetazquiro,muetazkiro
mugaárriac,mugaarriak
mugacaiztu,mugakaiztu
mugaguetu,mugagetu
mugaitz,mugaitz
mugaitzean jaioa,mugaitzean jaioa
mugaizquiro,mugaizkiro
mugaiztiro,mugaiztiro
mugaldi urcoa,mugaldi urkoa
mugaldi urruticoa,mugaldi urrutikoa
mugaldigaitzá,mugaldigaitza
mugaldiro,mugaldiro
mugandiró,mugandiro
mugaquida,mugakida
mugaquidatu,mugakidatu
mugaric baguea,mugarik bagea
mugarriac ifiñi,mugarriak ifini
mugarriac quendu,mugarriak kendu
mugarricoa,mugarrikoa
mugarrieta,mugarrieta
mugarrita,mugarrita
mugartu,mugartu
mugatitu,mugatitu
mugatitza,mugatitza
mugatzallea mrratzallea,mugatzailea mrratzailea
mugatzea,mugatzea
mugaurquetarra,mugaurketarra
mugaustca,mugaustka
mugaustea,mugaustea
mugd-,mugd-
mugire,mujire
mugollozalea,mugoilozalea
mugonduna,mugonduna
mugonez,mugonez
mugonquiro,mugonkiro
muguetacoa,mugetakoa
muguidaquida,mugidakida
muguiguda,mugiguda
