LAR_LEMMA	UNIDECODE	EGOKITUA	SARASOLA	SARASOLA1745	WIKIDATA
aguintaldia	aguintaldia	agintaldia	agintaldi	agintaldi	agintaldi
aguintari andiena	aguintari andiena	agintari andiena			
aguintari ondorengoa	aguintari ondorengoa	agintari ondorengoa			
aguintaria	aguintaria	agintaria	agintari		agintari
aguintariarena	aguintariarena	agintariarena			
aguintaricoya	aguintaricoya	agintarikoia			
aguintizquira	aguintizquira	agintizkira			
aguintopoa	aguintopoa	agintopoa			
aguintza	aguintza	agintza	agintza		
aguintzallea	aguintzallea	agintzailea	agintzaile		agintzaile
aguintzea	aguintzea	agintzea			
aguira utsa	aguira utsa	agira utsa			
aguiracaria	aguiracaria	agirakaria	agirakari		
aguiracatu,aguira utsac eguin	aguiracatu,aguira utsac eguin	agirakatu,agira utsac egin			
aguiri	aguiri	agiri	agiri		agiri
aguiria	aguiria	agiria	agiri		agiri
aguirian	aguirian	agirian			
aguiriduna	aguiriduna	agiriduna			
aguirudia	aguirudia	agirudia			
aguirudiro	aguirudiro	agirudiro			
aguitz	aguitz	agitz			
aguitz estutu	aguitz estutu	agitz estutu			
aguitz estutua	aguitz estutua	agitz estutua			
aguiztu	aguiztu	agiztu			
agujade ensalmar	agujade ensalmar	agujade entsalmar			
agujero	agujero	agujero			
agur eranzun	agur eranzun	agur erantzun			
aguré acurtua	agure acurtua	agure akurtua			
agúre zarrá	agure zarra	agure zarra			
agurea	agurea	agurea	agure		agure
agurearen	agurearen	agurearen			
agurechoa	agurechoa	aguretxoa	aguretxo	aguretxo	
aguresyarra	aguresyarra	agurexarra			
aguretu	aguretu	aguretu	aguretu	aguretu	aguretu
aguretua	aguretua	aguretua	aguretu	aguretu	aguretu
